Name,SMILES,BoM,Enzyme
3-Methylindole,Cc1c[nH]c2ccccc12,"<0,H;Oxidation;R1><1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2A6
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2B6
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2C8
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2C9
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2D6
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP2E1
3-Methylindole,Cc1c[nH]c2ccccc12,"<1,2;Reduction;R2><2,H;Oxidation;R2>",CYP3A4
4-Aminobiphenyl,Nc1ccc(-c2ccccc2)cc1,"<0,H;Hydroxylation;R1>",CYP1A2
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP1A2
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2A6
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2B6
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C8
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2C19
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2D6
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP2E1
4-Chloromethyl-7-ethoxycoumarin,CCOc1ccc2c(CCl)cc(=O)oc2c1,"<1,H;Oxidation;R1><1,2;Cleavage;R1>",CYP3A4
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP1A2
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2A6
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C9
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2C19
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2D6
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP2E1
4-Nitroanisole,COc1ccc([N+](=O)[O-])cc1,"<0,H;Oxidation;R1><0,1;Cleavage;R1>",CYP3A4
4-Nitropyrene,O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,"<17,19;UnspReduction;R1><17,18;UnspReduction;R1><9,11;Epoxidation;R2>",CYP1A2
4-Nitropyrene,O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32,"<0,1;Reduction;R1><1,2;Reduction;R1><11,H;Hydroxylation;R2><10,H;Hydroxylation;R3><10,11;Epoxidation;R4><6,H;Hydroxylation;R5><8,H;Hydroxylation;R6>",CYP3A4
6-Aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;Epoxidation;R2>",CYP1A2
6-Aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1>",CYP2A6
6-Aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;Epoxidation;R2>",CYP2B6
6-Aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;Epoxidation;R2>",CYP2D6
6-Aminochrysene,Nc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;Epoxidation;R2>",CYP3A4
6-Nitrochrysene,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,"<9,10;EpOxidation;R1>",CYP1A2
6-Nitrochrysene,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,"<0,1;UnspReduction;R1><1,2;UnspReduction;R1>",CYP2E1
6-Nitrochrysene,O=[N+]([O-])c1cc2c3ccccc3ccc2c2ccccc12,"<9,10;EpOxidation;R1><0,1;UnspReduction;R2><1,2;UnspReduction;R2>",CYP3A4
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,"<5,H;Hydroxylation;R1><0,H;Hydroxylation;R2><7,8;EpOxidation;R3>",CYP1A2
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;EpOxidation;R2>",CYP2D6
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,"<0,H;Hydroxylation;R1><7,8;EpOxidation;R2>",CYP2E1
6-Methylchrysene,Cc1cc2c3ccccc3ccc2c2ccccc12,"<5,H;Hydroxylation;R1><0,H;Hydroxylation;R2><7,H;Hydroxylation;R3><6,H;Hydroxylation;R4><7,8;EpOxidation;R5>",CYP3A4
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP1A2
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP2B6
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP2C8
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP2C9
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP2C19
7-Benzyloxy-4-trifluoromethylcoumarin,CCCCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,"<3,4;Cleavage;R1><3,H;Oxidation;R1>",CYP3A4
7-Benzyloxyquinoline,c1ccc(COc2ccc3cccnc3c2)cc1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP1A2
7-Benzyloxyquinoline,c1ccc(COc2ccc3cccnc3c2)cc1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP3A4
7-Benzyloxyresorufin,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,"<11,H;Oxidation;R1><10,11;Cleavage;R1>",CYP1A2
7-Benzyloxyresorufin,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,"<11,H;Oxidation;R1><10,11;Cleavage;R1>",CYP2B6
7-Benzyloxyresorufin,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,"<11,H;Oxidation;R1><10,11;Cleavage;R1>",CYP2C8
7-Benzyloxyresorufin,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,"<11,H;Oxidation;R1><10,11;Cleavage;R1>",CYP3A4
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1><8,H;Hydroxylation;R2>",CYP1A2
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1><8,H;Hydroxylation;R2>",CYP2A6
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2B6
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2C8
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2C9
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2C19
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2D6
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP2E1
7-Ethoxycoumarin,CCOc1ccc2ccc(=O)oc2c1,"<1,2;Cleavage;R1><1,H;Oxidaiton;R1>",CYP3A4
7-Ethoxyresorufin,CCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<1,2;Cleavage;R1><1,H;Oxidation;R1>",CYP1A2
7-Ethoxyresorufin,CCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<1,2;Cleavage;R1><1,H;Oxidation;R1>",CYP2C9
7-Ethoxyresorufin,CCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<1,2;Cleavage;R1><1,H;Oxidation;R1>",CYP2E1
7-Methoxycoumarin,COc1ccc2ccc(=O)oc2c1,"<7,H;Hydroxylation;R1><0,H;Oxidation;R2><0,1;Cleavage;R2>",CYP1A2
7-Methoxycoumarin,COc1ccc2ccc(=O)oc2c1,"<7,H;Hydroxylation;R1><0,H;Oxidation;R2><0,1;Cleavage;R2>",CYP2A6
7-Methoxyresorufin,COc1ccc2nc3ccc(=O)cc-3oc2c1,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP1A2
7-Methoxyresorufin,COc1ccc2nc3ccc(=O)cc-3oc2c1,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2E1
7-Pentoxyresorufin,CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP1A2
7-Pentoxyresorufin,CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP2B6
7-Pentoxyresorufin,CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP2D6
7-Pentoxyresorufin,CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,"<4,H;Oxidation;R1><4,5;Cleavage;R1>",CYP3A4
7MBAC,Cc1c2ccccc2nc2c1ccc1ccccc12,"<11,12;EpOxidation;R1><3,4;EpOxidation;R2><14,15;EpOxidation;R3><4,H;Hydroxylation;R4><12,H;Hydroxylation;R5><0,H;Hydroxylation;R6>",CYP1A2
7MBAC,Cc1c2ccccc2nc2c1ccc1ccccc12,"<11,12;EpOxidation;R1><3,4;EpOxidation;R2><14,15;EpOxidation;R3><4,H;Hydroxylation;R4><12,H;Hydroxylation;R5><0,H;Hydroxylation;R6>",CYP3A4
9-cis-Retinal,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=O)C(C)(C)CCC1,"<13,H;Hydroxylation;R1>",CYP1A2
9-cis-Retinal,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=O)C(C)(C)CCC1,"<13,H;Hydroxylation;R1>",CYP2C19
9-cis-Retinal,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C=O)C(C)(C)CCC1,"<13,H;Hydroxylation;R1>",CYP3A4
AMMC,CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O,"<15,16;Cleavage;R1><16,H;Oxidation;R1>",CYP1A2
AMMC,CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O,"<15,16;Cleavage;R1><16,H;Oxidation;R1>",CYP2B6
AMMC,CC[N+](C)(CC)CCc1c(C)c2ccc(OC)cc2oc1=O,"<15,16;Cleavage;R1><16,H;Oxidation;R1>",CYP2D6
BFC,O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,"<12,13;Cleavage;R1><13,H;Oxidation;R1>",CYP1A2
BFC,O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,"<12,13;Cleavage;R1><13,H;Oxidation;R1>",CYP2B6
BFC,O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,"<12,13;Cleavage;R1><13,H;Oxidation;R1>",CYP2C9
BFC,O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,"<12,13;Cleavage;R1><13,H;Oxidation;R1>",CYP2C19
BFC,O=c1cc(C(F)(F)F)c2ccc(OCc3ccccc3)cc2o1,"<12,13;Cleavage;R1><13,H;Oxidation;R1>",CYP3A4
BMAMC,CCCCNCc1cc(=O)oc2cc(OC)ccc12,"<3,4;Cleavage;R1><3,H;Oxidation;R1><14,15;Cleavage;R2><15,H;Oxidation;R2>",CYP1A2
BMAMC,CCCCNCc1cc(=O)oc2cc(OC)ccc12,"<14,15;Cleavage;R1><15,H;Oxidation;R1>",CYP2C9
BMAMC,CCCCNCc1cc(=O)oc2cc(OC)ccc12,"<14,15;Cleavage;R1><15,H;Oxidation;R1>",CYP2C19
BMAMC,CCCCNCc1cc(=O)oc2cc(OC)ccc12,"<14,15;Cleavage;R1><15,H;Oxidation;R1>",CYP2D6
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<15,H;Hydroxylation;R1><14,H;Hydroxylation;R2><6,H;Hydroxylation;R3><7,H;Hydroxylation;R4>",CYP1A2
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<15,H;Hydroxylation;R1><14,H;Hydroxylation;R2><6,H;Hydroxylation;R3><7,H;Hydroxylation;R4>",CYP2A6
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<15,H;Hydroxylation;R1><14,H;Hydroxylation;R2><6,H;Hydroxylation;R3><7,H;Hydroxylation;R4>",CYP2B6
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<10,11;EpOxidation;R1><15,H;Hydroxylation;R2><14,H;Hydroxylation;R3><6,H;Hydroxylation;R4><7,H;Hydroxylation;R5>",CYP2C8
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<15,H;Hydroxylation;R1><14,H;Hydroxylation;R2><6,H;Hydroxylation;R3><7,H;Hydroxylation;R4>",CYP2D6
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<15,H;Hydroxylation;R1><14,H;Hydroxylation;R2><6,H;Hydroxylation;R3><7,H;Hydroxylation;R4>",CYP2E1
Carbamazepine,NC(=O)N1c2ccccc2C=Cc2ccccc21,"<10,11;EpOxidation;R1><15,H;Hydroxylation;R2><14,H;Hydroxylation;R3><6,H;Hydroxylation;R4><7,H;Hydroxylation;R5>",CYP3A4
CMV423,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1CCCC2,"<15,H;Hydroxylation;R1>",CYP1A2
CMV423,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1CCCC2,"<11,N;N-Oxidation;R1><15,H;Hydroxylation;R2>",CYP2C8
CMV423,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1CCCC2,"<15,H;Hydroxylation;R1>",CYP2C9
CMV423,NC(=O)c1c(Cl)c(-c2cccnc2)n2c1CCCC2,"<15,H;Hydroxylation;R1>",CYP3A4
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1><5,6;Cleavage;R2>",CYP1A2
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2A6
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2B6
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2C8
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2C9
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1><5,6;Cleavage;R2>",CYP2C19
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2D6
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1>",CYP2E1
CP-125-611,Oc1ccc(OC(F)(F)F)cc1CN[C@@H]1CCCN[C@H]1c1ccccc1,"<14,H;Oxidation;R1><13,14;Cleavage;R1><5,6;Cleavage;R2>",CYP3A4
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP1A2
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2A6
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2B6
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2C8
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2C9
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2C19
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2D6
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP2E1
CP-677-623,COc1ccc(OC(F)(F)F)cc1CN,"<0,1;Cleavage;R1><0,H;Oxidation;R1>",CYP3A4
DBAJAC,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"<11,12;EpOxidation;R1><6,7;EpOxidation;R2><14,15;EpOxidation;R3><0,5;EpOxidation;R4><16,17;EpOxidation;R5><1,2;EpOxidation;R6><9,N;N-Oxidation;R7><20,H;Oxidation;R8><19,20;Reduction;R8><19,10;Oxidation;R8><9,10;Reduction;R8><8,9;Reduction;R8><8,21;Oxidation;R8><20,21;Reduction;R8>",CYP1A2
DBAJAC,c1ccc2c(c1)ccc1nc3ccc4ccccc4c3cc12,"<11,12;EpOxidation;R1><6,7;EpOxidation;R2><14,15;EpOxidation;R3><0,5;EpOxidation;R4><16,17;EpOxidation;R5><1,2;EpOxidation;R6><9,N;N-Oxidation;R7><20,H;Oxidation;R8><19,20;Reduction;R8><10,19;Oxidation;R8><9,21;Reduction;R8><8,9;Reduction;R8><8,21;Oxidation;R8><20,21;Reduction;R8>",CYP3A4
DDTC-Me,CCN(CC)C(=S)SC,"<5,6;Desulfuration;R1><7,S;S-Oxidation;R2>",CYP1A2
DDTC-Me,CCN(CC)C(=S)SC,"<5,6;Desulfuration;R1><7,S;S-Oxidation;R2>",CYP2A6
DDTC-Me,CCN(CC)C(=S)SC,"<5,6;Desulfuration;R1>",CYP2B6
